,CLASS
หนีเราไปมีแฟนเฉยเลยนะคุณน่ะ 🙃,6
เริ่มวันแรกของเดือนกุมภาด้วยวันเกิดคุณโด .. เดือนนี้เป็นเดือนดีๆของเรากับน้อง ครบปีที่เราได้เจอกันแล้วก็กำลังจะได้เจอกันอีกครั้ง คิดถึงน้า,7
"[INFO] ยอดดาวห์โหลดเพลงในปี 2016 ครับเราอยู่ที่ 5 ครับ
#BLACKPINK https://t.co/TxCjEW3ebf",1
มันจะฟีลนี้ตลอดเลยที่รู้สึกว่าเพลงไม่เวิร์กแต่เราก็จะติด เหมือนเอสเอ็มรู้วิธีทำให้มันเป็นจุงดกซองงี้ ฟังละติด555555,1
สุ่มแจกชา✨ ขอคนที่โตพอที่จะรับผิดชอบตัวเองได้จะแจก sex dust🌛☁️ เพราะเราไม่มีแฟน😂 รีอย่างเดียวแล้วเอาไปลองเอง ปิดรีต… https://t.co/vyCwlGsF6m,7
ตุ่ยน้อยของเราา แฮปปี้เบิร์ดเดย์ อยู่กับพวกเราไปนานๆนะ 💕 #HappyDoyoungDay,1
นั่นแหละบางทีก็ไม่อยากพรีกับร้านใหญ่ๆถึงไม่โกงก็ช้า เพราะเขารับพรีเยอะ ลูกค้าเยอะ กว่าจะตอบเราก็นาน พรีร้านที่อยู่มานานคนตามระดับนึงก็พอ,3
สมมติว่าถ้ามีแฟน เวลามีคนที่ดูดี หน้าตาดีกว่าเรามาคุยเล่นกับแฟนเรา นอมรับตรงๆ เลยนะว่านอยด์…เพราะเราไม่มีดีสู้คนอื่น กลัวเค้าจะทิ้งเราไป,3
เคยชอบคนนึงมากเป็นคนแรกและคนเดียวที่กูตอแหลทักไปว่า ไม่ค่อยตอบเมนนะครับเรามาคุยในนี้กันดีกว่า กูปล่อยความกะโหลกมากเวลาชอบใคร #ยืมเมจforsex,1
โจโฉปลอบทหารที่เพิ่งแพ้ศึกที่ผาแดง แกพูดไว้ดีมาก เราสามารถนำมาใช้ได้นะ #สามก๊ก https://t.co/4nHN43jwGk,6
ความอินขั้นสุด หนูตื่นเต้นมากใช่ไหม ไม่ได้ร้องเพลงให้อินซอฟังนานมาก เราก็ตื่นเต้นเหมือนกันนน https://t.co/wumQX2KJAG,1
เราว่าควรมีความพอดีทั้งศิลปินทั้งแฟนคลับอ่ะ ไม่ใช่ว่าศิลปินใจดีแฟนๆก็ยิ่งเยอะใส่ยิ่งกอบโกย ยิ่งเค้าใจดีแฟนๆยิ่งควรพอยิ่งควรเกรงใจ,7
"แจกการ์ดใสเนื่องในวันเกิดเรากับโดยอง🐰 20 คนเน้อ สุ่มจากรีทวิตนะคะ 🙆💕 ประกาศ 2 กพ.เน้อ

#HappyDoyoungday… https://t.co/iPgypaPLpe",1
หลายครั้งที่ทึ่งกับเด็กคนนี้ ไม่ว่าจะทำอะไรก็เต็มที่ตลอด เพราะแบบนี้ พวกเราสามารถไว้ใจ ปาร์ค จีฮโย ได้เสมอ  ❤️… https://t.co/CrwfQkYEJk,1
6-น้องบอกมีแค่ 1400 นอกนั้นไม่มีต้องยืม เขาก็บอกให้ยืม(เอ้าอีเวง) สรุปพอเรามาเจอน้องเราก็เห็นท่าทางแปลกๆเราก็ถามว่าทำไมต้องจ่ายเงิน,4
อยากมีเมียเป็นบอทแทยงเหมือนกันครับ แต่ติดที่เขาไม่เอาเราแค่นั้น เขาเอาบอทจอห์นนี่กับบอทแจฮยอน รู้สึกเศร้าๆนะ..,2
"อาจารย์ สอนให้รัก ในความรู้ .. แต่เธอ สอนให้รู้ ในความรัก😆
#แคปชั่นเสี่ยว  #เสี่ยวสัสกากมะพร้าวราวตากผ้า #คําคมในวงเหล้า #แคปชั่นอ่อย",1
"แพ้แล้วว่ะ แพ้เค้าคนของเธอ แต่ที่เจ็บที่สุดคือกูแพ้ใจตัวเองว่ะ
#รักกันนานๆนะมีความสุขด้วยอย่าทะเลาะกันบ่อยๆล่ะ🙂",2
"ฉันกำลังฟัง ""ชีวิตเธออยากใช้มันกับใคร-J$R"" รับฟังเพลงทาง JOOX ได้แล้ว! https://t.co/NMk31h0dsF https://t.co/eNdmRk5yDx",2
วันที่เธอดูแปลก - Project H https://t.co/MhxtimDGa7 via @YouTube,2
คิดถึงเธออยู่เรื่อยไป,2
ฉันคิดถึงเธออยู่แม้รู้ว่ามันอ่อนแอเหลือเกิน,2
อ่อนแอทุกครั้ง แค่เพียงได้เห็นแววตาของเธอ,2
วันไหนก็ยังเป็นของเธอออ 😘,1
"หากไม่ดูเป็นการรบกวน
ก็จะชวนเธอมารักกัน
ถูกใจเธอมาตั้งนานรู้มั้ย
#MissUniverse 
#Thailand",1
@ggiiey_ บ้ารักเธอป่ะจ้ะ5555555,1
อยากหลุดไปจากวงโคจรนี้,7
ไปใช้ชีวิตให้มีความสุขสิอย่ามาเสือกเรื่องของคนอื่น รำคาญ☺️,4
""" ผมอยากให้มันเป็นความรักที่มั่นคง ไม่ใช่แค่ชั่วขณะ ไม่ต้องหวือหวาแค่เรียบง่าย และต่อให้ไม่เป็นไปตามที่คิดก็เอาใจกลับมาไม่ได้แล้ว""",7
มินก้าาาาาโอ้ยวันนี้วันดีจริงๆเลยAll♡Sugaเขินวนไปปปปปป,1
นี่ต้องรอจันทร์น่าเลยหรอ อยากรู้จะเป็นไงต่อไป สงสารเพฮาอ่ะ #ทีมพระรอง #ทีมจินฮึงเพฮา#Hwarang https://t.co/oBbEfRw0mV,7
"ตี๋ไปเฝ้าร้านแทนเฮียที เฮียจะไปเตะบอล

เฮียไปใช้ให้ม๊าเฝ้าแทนไม่ได้หรอ ทำไมต้องมาใช้อั้ว https://t.co/9xJLLRpowT",2
ไม่ได้อยากไปหรอก แต่ในเมื่อไมาสนใจกันแล้วจะอยู่ทำไมว่ะ,4
คนอีสานที่ถูกดูถูกว่าโง่ รู้เห็นฟามเป็นไปทางการเมืองแบบโคตรเรียล คนที่ถือตนว่าฉลาดฝ่ามโนตามมายาคติ https://t.co/bFRglqd9mP,4
ไปเจอนี่มา ชกชกเหมือนจะหวงลูกเจี๊ยบจริงน๊า เค้าไม่ใช่ของตัวหรอกจะบอกให้ ^^~~ https://t.co/02rtKe6Ncn,1
ถูกมองเป็นคุณหรี่เพราะเป็นคนชอบง่ายแต่รักยาก คุยไปก็เทอยู่ดี,2
@Saranoiz ตรงพุ่งล้มนี่คิดอยุ่นาน คนไม่ดูบอลจะเกตไหมวะ555 สุดท้ายก้ใส่ๆไปคนดูบอลมาดูน่าจะฮา,1
"การเงินมีปัญาหา แก้ผ้าไปหาใครดีครับ? 555
#มปลาย",1
เอาแต่บ่นอยากดูหนังเซฮุนแล้ว ลืมไปเลยว่ามีฉากจูบด้วย https://t.co/vFK1sMqnZu,1
อยากจะขโมยเสื้อโค้ด เอาให้พรอมพ์ตัวสั่น เอาให้ไหล่ขาวแดงจัดไปเลย เพรางั้ยใส่แค่ก็หมวกพอ /เฬว,7
อิมิ้นต์ได้ตายลง ณ บัดนี้ แค่ได้ยินเสียงสตาร์ทรถก็ใจสั่นแล้วอะ อยากไปนอนกลางถนนให้จูโฮขับเหยียบเหลือเกิน ฮือออออออออ555555555,7
@C0DE97x โถ่ ไปหาดูเอาในละครไทยมีเยอะแยะ55555,8
@BOBYUN92X เริ่มง่วงแล้วครับ อีกซักพักก็ว่าจะไปนอน,8
ตอนนี้ร้องได้ท่อนเดียวค่ะ เดี๋ยวต่อไปจะค่อยๆเรียนรู้การดำน้ำนะคะ #ROOKIE #REDVELVET #레드벨벳,1
"ทะเลาะกัน แล้วก็ดีกัน
มันอาจจะไม่แปลกอะไร
แต่อย่าลืมว่าการทะเลาะกัน
มันเหมือนการทำร้ายความรู้สึก
กันไปเรื่อยๆ ทีละนิด
จนวันนึงมันอาจไม่เหลือ",2
@damis_araff เออพน.ใส่ขุดนร.เด้อ บอกไว้เผื่อไม่ได้ไปอ่านแชทห้อง,8
@TurboShiro อื้อหือจี้จุดไปอี้กก55555,6
ให้ความรู้สึกแบบโคตรแฟนเลยย ไปไหนมาไหนเฟสทามให้ดูตลอดดด น่ารักเกินไปล้าววววว ❤️😭 #ถ้ามีแฟนเป็นวี #태형 https://t.co/2gtkB4G8ct,7
เริ่มจากไม่มีอะไร แล้วมาสร้างอนาคตไปด้วยกันนะ,7
ชาแนล V App ของ I.O.I หายไปแล้วค่ะ 😢 https://t.co/eUvizp8dmZ,2
@RMonsterx คิดถึงเธออจังเลยค่ะ,1
สสวก.นะโดยองง เจอพี่ชานตามงานก็กอดกันอีกนะเลาอยากเห็น พี่ชานก็เอ็นดูเธอเหมือนกันรู้เปล่า5555555555555 🐰🐰… https://t.co/kZRmGmKgkP,1
ทำไมพี่แจขาวดำ? มาแปลกนะเธอ,6
"Q : คนนี้ใครเหรอครับ เธอสวยมากเลย ผิวขาว หุ่นบอบบาง ผมพยายามเสิร์ชหาหลายครั้งแต่ไม่เจอเลยครับ

BB : เมียผม... จบนะ… https://t.co/XlGzS2jC6V",1
Red Velvet 레드벨벳_Rookie_Music Video น่ารักมากกกกก ชอบมากกกก ไม่เสียดายเงินเลยที่เปย์พวกเธอทั้ง5 😭 #ROOKIE #RedVelvet https://t.co/DeBtOS9lNu,1
ในใจก็หวังอยู่ว่าเธอจะคิดถึงฉันเหมือนกัน,7
@npcy_jksg ฉันบอกเธอแร้ววว,1
@kamonrachanok น้ำเหลืองๆคือชาเขียวชิป่ะ เธอววว,1
@B_Btn33 เราส่งก่อนก็ได้ค่ะ ไม่เป็นไรรอได้~ ขอชื่อที่อยู่ไว้เลย/ เมนชั่นชวนคุยได้ตลอดเลย😀,1
@ihereQ เราเก็บ55555 ลองดูสิ อดกินข้าวบ้าง5555,1
"@greanpatta Etude BE109, 3CE 119 Hold On, 3CE 118 Holy Rose เราว่าของอีทูดี้ทาง่ายสุดในบรรดาทุกอัน",1
งื้ออ ผู้ชายอบอุ่น ผู้ชายรักครอบครัว นี่แหละค่ะเขาจะเป็นเสาหลักของครอบครัวให้เราได้ 😚 https://t.co/bK6hjFXvmt,1
ถ้าเราสองคนเหนื่อย ต่างคนก็ต่างเหนื่อย เราจะปล่อยให้คนอื่นเข้ามากอดหรือเราจะกอดกันเอง?,7
เหยยย มากิเป็นพี่ข้างบ้านมาฟุยุจริงปะเนี่ย บ้านเกิดที่เดียวกันด้วยย โง้ววว เราว่าอ.อาจจะสับขาหลอกก้ได้... อ.ชอบแกล้งแฟนๆ...,1
ไม่ไปแล้วว วันนี้ร่างเราจะพังฮือออ ;-; https://t.co/kVtQawvfJ6,2
#HappyJIHYOday น้องเป็นคนที่หน้าครบเครื่องตาโตปากนิดจมูกหน่อย เป็นคนสวยมากกคนหนึ่งเลยแหละ เราจะรอวันที่ใครๆก็เหงควา… https://t.co/MhsFwC2dOC,1
เป็นห่วงแต่เราทำควยอะไรให้คุณรับรู้ไม่ได้เลย,4
@Aiirz_ เราคงไม่ลุ้นไปมากกว่านี้แล้วเหมือนกันค่ะ55 ต้องใช้ดวงจริงๆ กลัวค่ะ กลัวหัวล้าน5555,3
เอาจริงๆก็ยังหวังลึกๆว่ายังอาจจะมีวันที่คุณจะรักเราบ้าง,7
รักลีดมากๆเลย อ่าา สุขสันต์วันเกิดนะลีดจี เราเมนมินะนะแต่ตอนนี้รักลีดจีมากมายอ่ะ คือหวีดหนักมาก เรายกลีดให้เป็นต้นแ… https://t.co/fnZOZBMZao,1
คือที่เกาไม่รู้ก็เข้าใจนะ เพราะงั้นเราก็ต้องทำให้เขารู้สิ,1
เราเปลี่ยนใจใครไม่ได้หรอก,8
@tuajiwyj99 ช่วงนี้งานเราเยอะมากเลยเตง เราเหนื่อยอ่อน เตงเป็นไงบ้าง ได้หยุดเกษตรแฟร์นินา,1
"เดานิสัยจากที่เราทวิตไปไม่ได้ค่ะ ทวิตเหี้ยมาก จริงๆแล้วนิสัยนี้อาจจะเหี้ยกว่านั้นก็ได้. 555555555555555
#ยืมเมจforsex #ยืมเมจ",8
@fernrhdjy จริงๆ เฟิร์นไม่ต้องรีก็ได้นะ เราว่าจะให้อยู่แล้ววว,8
แต่เราอยากใช้ชื่อยูนิเวิร์สอ่ะ.. มันมีความหมายมากนะเว้ย,7
Happy birthday คุณโด เป็นกาตุ่ยผู้น่ารักแบบนี้ไปนานๆน้าาาา ♡♡♡ #happydoyoungday https://t.co/vdPBlxO4AZ,1
ไปไกลๆตีนกูเนอะ,4
"พี่เต๋า : ดูทำหน้า ดูทำหน้า *หัวเราะ* *ยื่นกะเพราะไปยั่ว* รอก่อน เดี๋ยวให้ขนม

🎵ทำไมถึงทำกับโร่ได้ โร่ทำอะไรให้คุณเ… https://t.co/DNJ55ic6vj",1
แม้โรงเรียนสายลับจะปิดเทอมไปแล้ว มาดูกันดีกว่าว่าเหล่านักเรียนจะประเมินรายวิชาล้วงความลับนี้ว่ากันยังไงบ้าง… https://t.co/mz9cEtS84l,1
@_adfxwilliam อ่า เห็นท่านเชื่องๆ ข้าคงลืมไปเลยว่าท่านเป็นหมาป่า..,6
เหมือนเอินจะลืมไปนะคะว่านี่กล้องแฟนคลับไม่ใช่แฟนตัวเอง ได้ทีอ่อยใหญ่เลยนะคะหนู ร้ายจริงๆเด็กคนนี้😏😏😏… https://t.co/Rj1H4DNt6H,5
@piglethae น่ารักจีจี ขนาดแบบตอนเหมือนเดินไปตรงคนเยอะๆละมีคนจำได้เยอะก็แบบวิ่งเหยาะๆออกมาละก็ขำกันสองคน 😂,1
คิดไปเอง5555,2
เพราะเจสซี่โดนดุที่จำท่าเต้นไม่ได้เลย ฟานี่เองก็นอยด์ไปด้วย นั่งทำหน้าเศร้า แล้วก็ขยับไปให้กำลังใจเจสซี่ คือน่ารัก… https://t.co/nVeNQ6VqvP,1
มีความสุขมากๆนะคะคุณดงยอง! ขอให้สุขภาพแข็งแรง น่ารักๆไปนานๆนะคะ!💕💫🐰 #happydoyoungday https://t.co/QamOOOWuRr,1
qอยากไปดิสนีย์แลนด์แล้วเจอยูโกะ เจอกันบนเครื่องเล่นงี้ ฝันไว้ก่อน 😂😂,7
ตรงๆนะคือรักแล้วเอ็นดูน้องมากอ่ะครับตอนโดนคนนั้นทิ้งมาผมก็ปกป้องแต่ตอบแทนกันงี้หรอครับ? นี่งงใจจริงๆนะครับ แล้วเอาไปพูดไรไว้อ่ะพี่ขอหลักฐาน,7
"[แจก]แก้บนเนื่องจาก #Youngjae ได้ไปออกรายการร้องเพลง🌞🎤
-มาม่าเผ็ดเกาหลี3ห่อ
-โพลารอยด์ยองแจ2รูป+เงิน100บ.
ประกาศ31ม… https://t.co/ldHtzQLp3f",1
ไม่อยากจะอ้อนวอนให้เขาอยู่หรอก ถ้าเขาจะไปสุดท้ายก้ต้องหาทางพยายามที่จะไปเหมือนเดิม https://t.co/DOobM49PIN,8
@ploy0759 มึงทำกุหลอน กุเห็นทวิตนี้แล้ว อุตส่าข้ามไป ยังจะมาแท็กกู กูเลยดู แง้ -.-,5
31/ เป็นวันที่นางต้องโอนเงินให้ลูกค้ารอบแรก แต่ได้ข่าวว่ายังไม่คืนนี่นา ใจตกไปถึงตาตุ่มเลยค่ะทักไปไม่ตอบแล้วจ้ากูโด… https://t.co/zNQSSMp65c,3
@Jadaif_94 น่ารักแบบนี้นี่ไปเรียนมาจากไหนครับ,1
@NoooNanNiE ฝากไปเรื่อยๆ55555,1
นี่ก็ดึกแล้วนะ พวกนาย นายและนาย !! ไม่ไปนอนอีกหรออ ~!,6
ถ้ามีก่อนกุมภา ป่านนี้กูเก็บเสื้อผ้าไปกับม๊าละสัส,4
เป็นฟิคที่อ่านช่วงแรกวุ่นวายกลับไม่ได้ไปไม่ถึงเหมาะกับเพลงเพื่อนสนิทคิดไม่ซื่อ แต่อ่านไปสักพักต้องเปลี่ยนมาฟังนรกใน… https://t.co/U5Rw1mv3Hp,6
ขอให้1d ไปงานวันเกิดแฮร์รี่กันให้ครบๆทุกคนเลยนะ อุสาห์อยู่LA ด้วยกันโดยพร้อมเพียงแล้ว,7
@kaii_ky12 อาจจะสับสนไปหน่อย เพราะตอนพิมพ์นี่โหโมสุดๆ,4
กินเศษข้าว เศษแกงแล้วจะผิวดี ดั้งโด่งแบบนี้เหรอ // วิ่งไปขอเศษข้าวร้านตามสั่งปากซอยกิน #คลื่นชีวิต,7
@bbbeamload อยากไปอีกแต่อยู่ไกลเกิ้นน หาเวลาไปยากมั่ก55555,7
@JusminMelody แต่รายการนี้มีเดียเพลย์ก่อนไปถ่ายตลอดอ่ะ นี่ไม่เกลียดรายการเรื่องพาไอดอลไปกินอยู่ลำบากนะ แต่จะเกลียดตรงทำให้โดนรุมนี่แหลด,5
@yokzate อะไร ไปไหน,6
มิสจีควรอาบน้ำก่อนนอนนะคะ แกไปต้อนไก่มานะเออ 5555 #คลื่นชีวิต,1
คืนนี้ไม่นอนฮะ ปั่นวิวยาวๆไป  รุกคิรุกคิ  #ROOKIE #RedVelvet #레드벨벳,1
@fairphare ไม่ตอบไลน์อะ เสียจัย ไปเจอนี่มา https://t.co/CamEUG7RNZ,2
RT 19990305Y: ชาร์ตเมล่อนยาวๆไปค่ะ #Rookie https://t.co/VogKhEMN6o,1
' อยากขอเป็นใครคนนั้นที่เธอกำลังต้องการ ',7
สุดท้ายเราก็ต้องเสียน้ำตาให้กับเธอ,2
ไม่ว่าจะผ่านมานานกี่ปี ความรู้สึกที่เรามีให้กับเธอก็ยังเท่าเดิม,1
"เธอคือหัวใจหลักของทีมเลย เรารักเธอ ❤❤
#HappyJihyoDay",1
@LunafreyaXXFV อืออ เธอเองก็ด้วย,1
เรื่องที่ชอบก็จะจ้อไม่หยุดแบบนี้ แต่พอเจอเธอก็ดันพูดไม่ออกทุกที,8
เพลงประจำวันของคุณ! — ว่าฉันไม่เคยได้อยู่ในชีวิตของเธอเป็นอยู่เสมอก็แค่คนที่ไม่เคยมีตัวตน 😭 https://t.co/JTmScJHt6i,7
อย่าลืมความจริงที่เธอเคยทิ้งเราไป,4
รักเธอแทบเป็นแทบตาย แต่เธอกลับหายใจเป็นเค้าาา~~~ ฟ้าคคคคค 🤧🤧🤧,4
@iceshew อ่าเพิ่งเห็นขอโทดคะ แล้วเธอได้ตรงไหนอ่า,4
ขอบคุณเธอที่ทำให้รู้รักเป็นยังไง,8
"หากว่าใจของเธอไม่ได้เปลี่ยนไป
เรากลับมาทำสิ่งที่พลาดไปให้มันดีขึ้นไหม ,
...
#fmeow",7
"ยอมแล้วจ้าแม่คนงามT^T//

เธอสวย ~ ทุกนาทีที่เคยสัมผัส ~

พี่เค้าสวยมากอยากกรีดร้องเป็นภาษาฮิบลู😭🙏💕

#ลัทธิยุนกิเคะ… https://t.co/3BEfiDEk7I",8
@Beanchild_ เพลงของเธอ เพราะ ลุกขี้,8
ได้ใจไปสะทุกเรื่อง,8
@_O99XML ขอนะครับพี่ ขอเอาไปให้เทศบาลกำจัด ^_^,7
@blood_paper /หันไปหอมแก้มอีกคนเบาๆ/ กำลังใจ!,1
@mlkmlk31 ไปดูในไอจี,1
@pich727 ดีนะ ไม่คาบตัวกล่องไป ไม่งั้นไม่มีข้าวกินแล่ววว,1
แทแทกำลังจะดุยุงกิ แต่เจอแบบนี้ไปก็😳 https://t.co/1JeoJO4IsW,1
"ฉากเด็ดครับ ""ก็โดนไปหลายควย แถมไม่ได้เบ่งน้ำเก่าทิ้ง เป็นไงหล่ะน้ำทะลักขมิบไว้ไม่อยู่เลย"" https://t.co/loqZQf6ADa",1
เพราะ Gen Y มีพ่อแม่ผ่อนให้อยู่แล้วป่ะ ละก็รู้สึกว่าการอยู่กับพ่อแม่ไปเรื่อยๆจนกว่าจะแต่งงานก็ไม่เดือดร้อนอะไร,4
เเรกๆเราว่าฟังยากเเหละ เเบบเเต่มันติดหู รุกกี้ รุกกี้ ตลอดเลย ไปมาๆนี่เเบบชอบเฉยย5555,6
สุ่มแจกหนังสือท่องศัพท์ 5 รางวัล เล่มไหนก็ได้ RT วนไปปปป #MissUniverse #Thailand https://t.co/E8uaKBO0lU,7
@boombxjn96 มาบ้านผมป่ะ มีร้านเด็ดๆเพียบเลย เดี๋ยวพาไปกินแต่เจ๊จ่าย,1
แต่ความคาดหวังที่มีไม่คิดจะไปเบียดบังพทสต เพราะรู้ว่าคนเราต้องการช่องว่าง แค่ให้รู้ว่ามีคนคอยให้กลจอยู่และแสดงออกว่ามองเห็นเราบ้างก็พอแล้ว,7
ปิดไปแล้วหรอ ปิดไปทำไมวะ แม่งเหลือให้เป็นความทรงจำให้กูหน่อยเถอะ,7
@dontdoubtmyname อัพเดทล่าสุดนะคะ ญาติไปขอดูกล้องวงจรปิดของทางห้างแล้วแต่ไม่เจอ 😭,8
ซื้อมาชิตะเยอะถึงขั้นพนักงานถามว่าซื้อไปทำไม พอบอกว่าลุ้นมีท nct นางกรี้ด นางว่าหนูไม่เห็นรู้ หนูชอบเตนล์… https://t.co/KcR35ICv7H,1
13.คุณแคร์จอดจักรยานแล้วมองเข้าไปในบ้านเมื่อมองไปชั้นสองก็เห็นผญ.ผมม้ายืนแอบอยู่ คุณแคร์ก็ไม่เอะใจอะไรแค่ตอบกลับไปว่า 'ก็บ้านคนนี่วะ',3
��จะยังไม่บอกนางว่าพี่มาร์คได้เป็นพรีเซ็นเตอร์มาชิตะ ไว้เซอร์ไพรส์ คิคิ ปล่อยนางอ่านฟิค #markmin ของนางต่อไป 😝 https://t.co/mCDMpkNJ0N,1
กับเพื่อนที่ม.นี่ไม่ค่อยคุยเรื่องติ่งเลย บางทีมันก็พูดขึ้นมาล่ะก็เออออไป แต่นี่ว่างปั๊ปก็ไถทลิตตลอด แล้วก็ยิ้มขำคนเดียว เพื่อนๆคงชินแล้ว 😂,1
@sqmmass ตอบเราก่อนสิเราถามก่อน,7
เรามานับกันค่ะ กว่าจะจบเรื่องนี้มิสจีโดนตบกี่ครั้ง 😫 #คลื่นชีวิต,6
หรือสุดท้ายแล้วเราก็แค่อยากอ่านฟิคสามพี 95bf วะ,7
เริ่มชิบคู่นี้ตอนแรกเราก็ #vkook นะ แล้วดูตอนนี้สิ หึหึหึ /// คำว่าเมะมันกลายเป็นฝุ่นไปแล้ว.... 55555 ต้อง #kookv แ… https://t.co/eSXCGTxwJl,1
อ่าวเหยเพิ่งเห็นน้องลบรุปทิ้งหมดเลย อันฟลอทุกคนด้วย ละอัพว่ากำลังพักจากการซ้อม เหมือนรู้สึกว่าพวกเราจะได้เจอกันเร็ว… https://t.co/vRqjy4ZQZr,6
จีฮุนก็สนิทกับชานยอล มิงก็สนิทกับกุก ฮ่าวก็สนิทกับแบม ซอกมินจะไม่สนิทออกสื่อกับหนูแจนของเราบ้างหรอ เรารอมม.อยู่นะ 😂 #ความในใจของนายเสาหิน,7
ฟัง #Rookie แล้ว ไม่ใช่แนวอ่ะ สงสัยเราคาดหวังมากเกินไป 😰😰 แต่ขอให้ปังๆนะ สู้ๆๆๆ ยังไงก็อุดหนุนอัลบั้มไปแล้ว #RedVelvet,7
เอาจริงเราเป็นแฟนคลับแท้ๆยังไม่ได้กังวลเลยว่าจะต้องปังมากแค่ไหน ตอนนี้ขอแค่ให้คัมแบคก่อนก็พออ่ะ คิดถึงจะแย่ ออกอะไรมาก็พร้อมซัพพอร์ตอยู่แล้ว,7
@Mysingshine @babimitsu @ssingss @OAUJUN_KORN เมนเราก้อชอบมือไว....เฮ้ยยเหนื่อยใจจริง,2
1. ที่บอกว่าเราเป็นคนหื่น จริงๆเป็นคนหวงตัวมาก ไม่ชอบให้คนไม่รู้จัก/ไม่สนิทแตะตัวเลย แต่ถ้าสนิทแล้วจะน้วยมาก ถ้าเป็นผู้ที่เล็งนี่จะอ่อยเลย,8
คนข้างบนจะให้เวลาเรามีความสุขเท่านี้เองหรอ ยังไม่ได้เริ่มเลยนะ ยังไม่เริ่มเลย ..,7
@taebinmonx ไปค่ะ เราจะไตแห้งไปด้วยกัน ฮื่อ 😂,7
ถ้าใครมีดิสคุณยุนกิสะบัดบ๊อบเต็มทล... เราคือเพื่อนกัน เต็มไปหมด ตลกเกินไปแล้ว 😂😂5555555555,1
บางครั้งการไม่มีใครคบก็ทำให้เรา หัดเรียนรู้อะไรได้หลายๆอย่าง แต่บางที่การมีคนให้เราแชร์เรื่องต่างๆในชีวืตก็ดีนะ แต่ช่างมันเถอะ,8
...... เราก็ทำ ตอนง่วงๆอะ ทำแพลนเที่ยวซะเลย,1
เราขอโทษนะ,2
"วันนี้อย่าลืม #บางรักซอย9ทับ1 #1ทุ่ม45นาที #one31 เร็วๆนี้พบกับเรา ""ทีมบางรักซอย9/1"" รายการ 4ต่อ4 https://t.co/bga9iLAFis",7
ไม่ต้องอยากดูแลเราหรอก เราดูแลตัวเองได้ แล้วก็ไม่ต้องปกป้องเราด้วย เราโตแล้ว :),8
ปิดรับโหวตแล้วนะคะ ทางเราขอเวลารวบรวมคะแนน และจะนำผลโหวตมาแจ้งให้ทราบโดยเร็วที่สุด ช่วยอดใจรอกันนิดนึงนะคะ พวกเรา จ… https://t.co/o5dbJiccHv,7
"อุปสรรค""มีมากหมายที่รออยู่ข้างหน้า เราต้องข้ามไปให้ได้ #คำโดนๆ",7
@jslpwmefreewifi เราคิดว่าถ้าจะได้แค่ใบเดียวมันก็ต้องได้ค่ะ 55555555,1
อ้าว เรือเรา555555 https://t.co/lmsT6rue2q,1
วันนี้เรามาปั่นแท็กให้ติดเทรนกันเถอะเจ้าค่ะ 😁 #คริสยอลชิปเปอร์และถิ่นที่อยู่ https://t.co/DfcDv6pCAQ,1
ผู้ชายเราบอบช้ำหมดแล้วฮือออออออ,2
ไอซ์ได้ตายไปแล้วนะทุกคน https://t.co/ej3fEZvgvu,2
@JSW852G7_ อยากไปอี้กกก,7
หรือเพราะ INFINITE F นี่อยู่ในรอบที่แล้วไปละ .______. พอดีตัดรอบไปคราวก่อนไปแล้วไรงี้,7
อย่าไปเปนนนความทรงจามมมแย่่่ๆๆของครายยอีกเยยยยน้าฝ้ายน้าาาาาฮิๆๆๆๆๆๆๆ,7
ไปซักผ้าก่อนข่ะ แหะๆ,1
เหนื่อยแล้วไงยังไงยังไม่ตายก็ต้องสู้ต่อไป,8
ทนไม่ไหวเดี๋ยวไปเอง,8
#โควตามข เอาเงินเราไป เอาเราไปเรียนด้วยนะ อย่าหลุดสัมฯ พลีสสส,7
19.และแล้ว...ก็ไปโผล่ในซอยบ้านร้างหลังนั้นคุณแคร์ปั่นไปใกล้เรื่อยๆ...ก็เห็นผญ.ยินอยู่ชั้นสองของบ้าน เมื่อคุณแคร์ปั่นไปหน้าบ้านผญ.ก็เดินออกมา,3
ขอหยุดเรียกมิงไปสักพัก ว่าไงคะมินกยูอปป้า https://t.co/ToPgfrCWEr,1
สำนวนแก้ความแกลบ : รวยได้เพราะขยันหมั่นเพียร ไม่ใช่ว่าใครจะเอาเงินทองมากอง เพราะฉะนั้น ความแกลบก็ย่อมหายไปเป็นแน่แท้...,7
ความ Ed Sheeran แต่งเพลงไรไปบ้างก็จำไม่ค่อยได้ https://t.co/4QAv0VAp3O,2
@misaojan เหมือนจะมีวิธีอัด กำลังหา แต่พี่ญจะไปแล้ว 5555555,1
อยากไปดูโว้ยยย,7
ขอบคุณที่อดทนและรอเดมาจนถึง 10 ปีนะ ต่อจากนี้จะเป็นจีฮโยลีดเดอร์ของทไวซ์ตลอดไปเลยนะ Cheery up baby~ #HappyJihyoDay https://t.co/FS2iQ4u261,1
ทวิต แจกไอโฟนนี่คลีนกันหลายทวิตเลยนะคะ น่าจะลบแอคไปเลยนะคะนะ,4
"ตั้งแต่นางอายจบไปดิฉันก็ละสายตาจากณิชาไม่ได้เลยค่ะพระเจ้า🙏
#คลื่นชีวิต",6
